Edad,NivelEducativo,Ocupacion,Vivienda,Ingresos,AreaResidencia,FrecuenciaActualizacion,PrimeraAccion,QueHaceConDispositivos,FrecuenciaReciclaje,DispositivosaAdquiridos,DispositivosDesuso,InformadoCentrosReciclaje,ParticipacionCampanas,ImportanciaReciclaje,BarrerasReciclaje,FactoresMotivacion,DisposicionApp,ComodidadApps,CaracteristicasDeseadas,FamiliaridadCiudadInteligente,DispositivosReemplazadosReparados,PracticasSostenibles,Televisor,Computadora,TelefonoMovil,ElectrodomesticosInteligentes
1,3,1,3,2,2,2,1,1,3,1,0,0,0,1,1,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 1, 'Mayor información sobre cómo y dónde reciclar': 0, 'Más puntos de recolección cerca de mi domicilio': 0, 'Garantía de que los datos personales serán eliminados de forma segura': 0, 'Conocer el impacto ambiental positivo de mi acción': 0, 'Otro': 0}",1,2,"{'Información sobre puntos de reciclaje cercanos': 0, 'Recordatorios para reciclar dispositivos en desuso': 0, 'Información sobre el impacto ambiental de los dispositivos': 0, 'Recompensas por reciclar': 1, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",1,1,4,1,1,1,1
1,3,1,1,1,2,2,1,1,3,1,0,0,0,1,1,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 1, 'Mayor información sobre cómo y dónde reciclar': 0, 'Más puntos de recolección cerca de mi domicilio': 0, 'Garantía de que los datos personales serán eliminados de forma segura': 0, 'Conocer el impacto ambiental positivo de mi acción': 0, 'Otro': 0}",1,2,"{'Información sobre puntos de reciclaje cercanos': 1, 'Recordatorios para reciclar dispositivos en desuso': 0, 'Información sobre el impacto ambiental de los dispositivos': 0, 'Recompensas por reciclar': 1, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",1,1,4,1,1,1,1
1,3,1,2,2,1,2,2,2,2,2,1,0,0,2,2,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 1, 'Mayor información sobre cómo y dónde reciclar': 0, 'Más puntos de recolección cerca de mi domicilio': 1, 'Garantía de que los datos personales serán eliminados de forma segura': 0, 'Conocer el impacto ambiental positivo de mi acción': 1, 'Otro': 0}",1,1,"{'Información sobre puntos de reciclaje cercanos': 1, 'Recordatorios para reciclar dispositivos en desuso': 0, 'Información sobre el impacto ambiental de los dispositivos': 1, 'Recompensas por reciclar': 1, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",1,2,4,1,1,1,0
2,2,1,3,1,1,3,2,1,3,2,2,0,0,2,1,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 0, 'Mayor información sobre cómo y dónde reciclar': 1, 'Más puntos de recolección cerca de mi domicilio': 0, 'Garantía de que los datos personales serán eliminados de forma segura': 0, 'Conocer el impacto ambiental positivo de mi acción': 0, 'Otro': 0}",1,2,"{'Información sobre puntos de reciclaje cercanos': 0, 'Recordatorios para reciclar dispositivos en desuso': 0, 'Información sobre el impacto ambiental de los dispositivos': 0, 'Recompensas por reciclar': 1, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",0,2,1,1,1,1,0
1,3,1,2,0,1,2,4,3,2,2,0,0,0,1,2,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 1, 'Mayor información sobre cómo y dónde reciclar': 1, 'Más puntos de recolección cerca de mi domicilio': 1, 'Garantía de que los datos personales serán eliminados de forma segura': 1, 'Conocer el impacto ambiental positivo de mi acción': 0, 'Otro': 0}",1,2,"{'Información sobre puntos de reciclaje cercanos': 0, 'Recordatorios para reciclar dispositivos en desuso': 1, 'Información sobre el impacto ambiental de los dispositivos': 1, 'Recompensas por reciclar': 0, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",1,1,4,1,1,1,1
1,3,1,2,3,1,2,2,4,3,2,1,0,0,2,1,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 1, 'Mayor información sobre cómo y dónde reciclar': 1, 'Más puntos de recolección cerca de mi domicilio': 1, 'Garantía de que los datos personales serán eliminados de forma segura': 0, 'Conocer el impacto ambiental positivo de mi acción': 0, 'Otro': 0}",1,2,"{'Información sobre puntos de reciclaje cercanos': 1, 'Recordatorios para reciclar dispositivos en desuso': 0, 'Información sobre el impacto ambiental de los dispositivos': 0, 'Recompensas por reciclar': 0, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",1,1,3,1,1,1,1
1,3,1,3,0,2,2,1,1,3,1,2,0,0,2,1,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 1, 'Mayor información sobre cómo y dónde reciclar': 1, 'Más puntos de recolección cerca de mi domicilio': 0, 'Garantía de que los datos personales serán eliminados de forma segura': 1, 'Conocer el impacto ambiental positivo de mi acción': 1, 'Otro': 0}",0,2,"{'Información sobre puntos de reciclaje cercanos': 1, 'Recordatorios para reciclar dispositivos en desuso': 1, 'Información sobre el impacto ambiental de los dispositivos': 1, 'Recompensas por reciclar': 1, 'Consejos para prolongar la vida útil de los dispositivos': 1, 'Otro': 0}",1,1,4,1,1,1,1
3,2,2,1,2,3,2,3,2,2,2,3,0,0,2,3,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 0, 'Mayor información sobre cómo y dónde reciclar': 1, 'Más puntos de recolección cerca de mi domicilio': 1, 'Garantía de que los datos personales serán eliminados de forma segura': 0, 'Conocer el impacto ambiental positivo de mi acción': 0, 'Otro': 0}",1,1,"{'Información sobre puntos de reciclaje cercanos': 1, 'Recordatorios para reciclar dispositivos en desuso': 0, 'Información sobre el impacto ambiental de los dispositivos': 1, 'Recompensas por reciclar': 0, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",0,1,5,1,1,1,0
1,3,1,2,1,2,2,2,3,2,2,1,1,0,2,4,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 0, 'Mayor información sobre cómo y dónde reciclar': 0, 'Más puntos de recolección cerca de mi domicilio': 0, 'Garantía de que los datos personales serán eliminados de forma segura': 0, 'Conocer el impacto ambiental positivo de mi acción': 1, 'Otro': 0}",1,2,"{'Información sobre puntos de reciclaje cercanos': 0, 'Recordatorios para reciclar dispositivos en desuso': 1, 'Información sobre el impacto ambiental de los dispositivos': 0, 'Recompensas por reciclar': 0, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",1,2,4,1,1,1,1
2,3,2,2,2,3,3,2,1,3,2,1,0,0,1,2,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 1, 'Mayor información sobre cómo y dónde reciclar': 1, 'Más puntos de recolección cerca de mi domicilio': 0, 'Garantía de que los datos personales serán eliminados de forma segura': 0, 'Conocer el impacto ambiental positivo de mi acción': 0, 'Otro': 0}",1,2,"{'Información sobre puntos de reciclaje cercanos': 0, 'Recordatorios para reciclar dispositivos en desuso': 1, 'Información sobre el impacto ambiental de los dispositivos': 0, 'Recompensas por reciclar': 1, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",0,3,4,1,1,1,0
3,2,2,2,2,3,2,1,1,3,2,1,0,0,2,1,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 1, 'Mayor información sobre cómo y dónde reciclar': 1, 'Más puntos de recolección cerca de mi domicilio': 0, 'Garantía de que los datos personales serán eliminados de forma segura': 0, 'Conocer el impacto ambiental positivo de mi acción': 0, 'Otro': 0}",1,1,"{'Información sobre puntos de reciclaje cercanos': 1, 'Recordatorios para reciclar dispositivos en desuso': 1, 'Información sobre el impacto ambiental de los dispositivos': 0, 'Recompensas por reciclar': 1, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",0,2,1,1,1,1,0
1,3,2,2,1,2,2,2,4,2,2,1,1,1,1,1,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 1, 'Mayor información sobre cómo y dónde reciclar': 0, 'Más puntos de recolección cerca de mi domicilio': 1, 'Garantía de que los datos personales serán eliminados de forma segura': 1, 'Conocer el impacto ambiental positivo de mi acción': 0, 'Otro': 0}",1,1,"{'Información sobre puntos de reciclaje cercanos': 1, 'Recordatorios para reciclar dispositivos en desuso': 1, 'Información sobre el impacto ambiental de los dispositivos': 0, 'Recompensas por reciclar': 0, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",1,1,1,1,1,1,0
4,1,2,2,2,3,2,2,1,3,2,1,0,0,2,1,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 0, 'Mayor información sobre cómo y dónde reciclar': 0, 'Más puntos de recolección cerca de mi domicilio': 1, 'Garantía de que los datos personales serán eliminados de forma segura': 1, 'Conocer el impacto ambiental positivo de mi acción': 0, 'Otro': 0}",0,2,"{'Información sobre puntos de reciclaje cercanos': 0, 'Recordatorios para reciclar dispositivos en desuso': 1, 'Información sobre el impacto ambiental de los dispositivos': 0, 'Recompensas por reciclar': 0, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",0,1,4,1,1,1,0
